"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J4";"PinHeader_1x04_P2.54mm_Vertical";1;"Conn_01x04";;;
2;"C13,C9,C8,C7,C10,C12,C11,C14";"C_0201_0603Metric";8;"100n";;;
3;"C2,C1,C6";"C_0201_0603Metric";3;"2.2u";;;
4;"R2,R1,R3";"R_0201_0603Metric";3;"11k";;;
5;"U3,U4,U5";"SOT-23-5";3;"JW5211";;;
6;"SW1";"SW_Push_1P1T_NO_Vertical_Wuerth_434133025816";1;"SW_Push";;;
7;"C4,C5,C3";"C_0201_0603Metric";3;"22u";;;
8;"J5";"microSD_HC_Molex_104031-0811";1;"Micro_SD_Card_Det2";;;
9;"RN1";"R_Array_Convex_5x0603";1;"47k";;;
10;"U6";"WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4.3mm";1;"W25Q256JWPIQ";;;
11;"U1";"QFN-88_EP_10x10_Pitch0.4mm";1;"F1C200s";;;
12;"L1,L3,L2";"L_0402_1005Metric";3;"2.2u";;;
13;"C16,C15";"C_0201_0603Metric";2;"1u";;;
14;"U2";"MSOP-10_3x3mm_P0.5mm";1;"CH340E";;;
15;"C19";"C_0201_0603Metric";1;"10u";;;
16;"R5";"R_0201_0603Metric";1;"36k";;;
17;"J2";"USB_Micro-B_GCT_USB3076-30-A";1;"USB_B_Micro";;;
18;"J1";"USB_C_Receptacle_XKB_U262-16XN-4BVC11";1;"USB_C_Receptacle_USB2.0";;;
19;"R6";"R_0201_0603Metric";1;"8.2k";;;
20;"R4,R9";"R_0201_0603Metric";2;"49.9k";;;
21;"R8,R7";"R_0201_0603Metric";2;"2.2k";;;
22;"D2";"LED_0201_0603Metric";1;"RED";;;
23;"C18,C17";"C_0201_0603Metric";2;"18pF";;;
24;"J3";"Jack_3.5mm_KoreanHropartsElec_PJ-320D-4A_Horizontal";1;"AudioJack4";;;
25;"D1";"LED_0201_0603Metric";1;"GREEN";;;
26;"Y1";"Crystal_SMD_2520-4Pin_2.5x2.0mm";1;"24MHz";;;
27;"J6";"PinHeader_2x14_P2.54mm_Vertical";1;"Conn_02x14_Counter_Clockwise";;;
