Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C6",0201,3,2.2u,
"C10, C11, C12, C13, C14, C7, C8, C9",0201,8,100n,
"C15, C16",0201,2,1u,
"C17, C18",0201,2,18pF,
C19,0201,1,10u,
"C3, C4, C5",0201,3,22u,
D1,0201,1,GREEN,
D2,0201,1,RED,
J1,USB_C_Receptacle_XKB_U262-16XN-4BVC11,1,USB_C_Receptacle_USB2.0,
J2,USB_Micro-B_GCT_USB3076-30-A,1,USB_B_Micro,
J3,Jack_3.5mm_KoreanHropartsElec_PJ-320D-4A_Horizontal,1,AudioJack4,
J4,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04,
J5,microSD_HC_Molex_104031-0811,1,Micro_SD_Card_Det2,
J6,PinHeader_2x14_P2.54mm_Vertical,1,Conn_02x14_Counter_Clockwise,
"L1, L2, L3",0402,3,2.2u,
"R1, R2, R3",0201,3,11k,
"R4, R9",0201,2,49.9k,
R5,0201,1,36k,
R6,0201,1,8.2k,
"R7, R8",0201,2,2.2k,
RN1,R_Array_Convex_5x0603,1,47k,
SW1,SW_Push_1P1T_NO_Vertical_Wuerth_434133025816,1,SW_Push,
U1,QFN-88_EP_10x10_Pitch0.4mm,1,F1C200s,
U2,MSOP-10_3x3mm_P0.5mm,1,CH340E,
"U3, U4, U5",SOT-23-5,3,JW5211,
U6,WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4.3mm,1,W25Q256JWPIQ,
Y1,Crystal_SMD_2520-4Pin_2.5x2.0mm,1,24MHz,
